Subject	Age	Condition	Item	Frequency	Rating
s101	19	Study1	Item070	88	5
s101	19	Study1	Item062	1010	5
s101	19	Study1	Item151	130	3
s101	19	Study1	Item051	194	2
s101	19	Study1	Item093	22	1
s101	19	Study1	Item164	56	5
s101	19	Study1	Item097	62	4
s101	19	Study1	Item017	57	2
s101	19	Study1	Item083	541	4
s101	19	Study1	Item010	17	1
s101	19	Study1	Item125	345	2
s101	19	Study1	Item096	781	3
s101	19	Study1	Item099	115	4
s101	19	Study1	Item095	244	4
s101	19	Study1	Item053	586	4
s101	19	Study1	Item176	451	5
s101	19	Study1	Item138	151	1
s101	19	Study1	Item171	61	5
s101	19	Study1	Item103	10	3
s101	19	Study1	Item109	121	5
s101	19	Study1	Item044	298	4
s101	19	Study1	Item136	1275	4
s101	19	Study1	Item130	78	5
s101	19	Study1	Item034	503	2
s101	19	Study1	Item032	99	3
s101	19	Study1	Item188	15	1
s101	19	Study1	Item046	1952	2
s101	19	Study1	Item028	12	1
s101	19	Study1	Item107	133	4
s101	19	Study1	Item048	318	5
s101	19	Study1	Item112	256	2
s101	19	Study1	Item186	239	1
s212	20	Study1	Item129	210	5
s212	20	Study1	Item172	135	5
s212	20	Study1	Item165	510	5
s212	20	Study1	Item011	952	1
s212	20	Study1	Item074	492	4
s212	20	Study1	Item121	437	5
s212	20	Study1	Item137	506	5
s212	20	Study1	Item038	104	5
s212	20	Study1	Item087	382	5
s212	20	Study1	Item155	91	5
s212	20	Study1	Item065	785	5
s212	20	Study1	Item029	1473	5
s212	20	Study1	Item006	41	1
s212	20	Study1	Item170	1070	1
s212	20	Study1	Item020	24	5
s212	20	Study1	Item072	114	5
s212	20	Study1	Item180	4425	5
s212	20	Study1	Item157	1424	5
s212	20	Study1	Item027	464	5
s212	20	Study1	Item158	38	5
s212	20	Study1	Item054	1281	5
s212	20	Study1	Item105	75	3
s212	20	Study1	Item167	26	5
s212	20	Study1	Item003	292	5
s212	20	Study1	Item166	725	5
s212	20	Study1	Item166	725	5
s212	20	Study1	Item111	510	5
s212	20	Study1	Item023	685	5
s212	20	Study1	Item075	81	5
s212	20	Study1	Item124	306	5
s212	20	Study1	Item040	132	5
